entry_type,citation_key,address,author,bdsk-url-1,booktitle,editor,howpublished,institution,issn,issue_date,journal,month,note,number,numpages,organization,pages,publisher,title,type,url,volume,year
misc,h2odatasets,,H2O.ai Team,http://data.h2o.ai,,,,,,,,,,,,,,,\textbf{H2O Datasets},,http://data.h2o.ai,,\the\year
misc,h2ojira,,H2O.ai Team,https://jira.h2o.ai,,,,,,,,,,,,,,,\textbf{H2O JIRA},,https://jira.h2o.ai,,\the\year
misc,dlarchitecture,,Yoshua Bengio,http://www.iro.umontreal.ca/~bengioy/papers/ftml.pdf,,,,,,,,,,,,,,,\textbf{Learning Deep Architectures for AI},,http://www.iro.umontreal.ca/~bengioy/papers/ftml.pdf,,2009
misc,efficientbackprop,,,http://yann.lecun.com/exdb/publis/pdf/lecun-98b.pdf,,,,,,,,,,,,,,,\textbf{Efficient BackProp},,http://yann.lecun.com/exdb/publis/pdf/lecun-98b.pdf,,1998
inproceedings,maxoutnetworks,,Ian J. Goodfellow and David Warde-farley and Mehdi Mirza and Aaron Courville and Yoshua Bengio,http://arxiv.org/pdf/1302.4389.pdf,\textit{In ICML},,,,,,,,,,,,,,\textbf{Maxout networks},,http://arxiv.org/pdf/1302.4389.pdf,,2013
inproceedings,hogwild,,,,In NIPS,,,,,,,,,,,,,,\textbf{Hogwild: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent},,,,2011
inproceedings,adadelta,,Matthew D. Zeiler,http://arxiv.org/pdf/1212.5701v1.pdf,,,,,,,,,,,,,,,\textbf{ADADELTA: An Adaptive Learning Rate Method},,http://arxiv.org/pdf/1212.5701v1.pdf,,2012
article,momentum,,Ilya Sutskever and James Martens and George Dahl and Geoffrey Hinton,http://www.cs.toronto.edu/~fritz/absps/momentum.pdf,,,,,,,,,,,,,,,\textbf{On the importance of initialization and momentum in deep learning},,http://www.cs.toronto.edu/~fritz/absps/momentum.pdf,,2014
article,featuredetectors,,G. E. Hinton and N. Srivastava and A. Krizhevsky and I. Sutskever and R. R. Salakhutdinov,http://arxiv.org/pdf/1207.0580.pdf,,,,,,,,,,,,,,,\textbf{Improving neural networks by preventing co-adaptation of feature detectors},,http://arxiv.org/pdf/1207.0580.pdf,,2012
online,rdocs,,H2O.ai Team,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Rdoc.html,,,,,,,,,,,,,,,\textbf{H2O R Package Documentation},,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Rdoc.html,,\the\year
manual,h2o_GLM_booklet,,"Hussami, N. and Kraljevic, T. and Lanford, J. and Nykodym, T. and Rao, A. and Wang, A.",http://h2o.ai/resources,,,,,,,,August,,,,,,,\textbf{Generalized Linear Modeling with H2O},,http://h2o.ai/resources,,2015
manual,h2o_DL_booklet,,"Arora, A. and Candel, A. and Lanford, J. and LeDell, E. and and Parmar, V.",http://h2o.ai/resources,,,,,,,,August,,,,,,,\textbf{Deep Learning with H2O},,http://h2o.ai/resources,,2015
manual,h2o_GBM_booklet,,"Click, C. and Lanford, J. and Malohlava, M. and Parmar, V. and Roark, H.",http://h2o.ai/resources,,,,,,,,August,,,,,,,\textbf{Gradient Boosted Models},,http://h2o.ai/resources,,2015
manual,h2o_R_booklet,,"Aiello, S. and Eckstrand, E. and Fu, A. and Landry, M. and Lanford, J. and Aboyoun, P.",http://h2o.ai/resources,,,,,,,,August,,,,,,,\textbf{Fast Scalable R with H2O},,http://h2o.ai/resources,,2015
manual,h2o_R_package,,H2O.ai Team,http://www.h2o.ai,,,,,,,,,R package version 3.1.0.99999,,,,,,\textbf{h2o: R Interface for H2O},,http://www.h2o.ai,,\the\year
manual,h2o_Python_module,,H2O.ai Team,http://www.h2o.ai,,,,,,,,,Python package version 3.1.0.99999,,,,,,\textbf{h2o: Python Interface for H2O},,http://www.h2o.ai,,\the\year
manual,h2o_Java_software,,H2O.ai Team,http://www.h2o.ai,,,,,,,,,version 3.1.0.99999,,,,,,\textbf{H2O: Scalable Machine Learning},,http://www.h2o.ai,,\the\year
misc,stream,,H2O.ai Team,https://groups.google.com/d/forum/h2ostream,,,,,,,,,,,,,,,\textbf{H2Ostream},,https://groups.google.com/d/forum/h2ostream,,\the\year
misc,rensemble,,Erin LeDell,http://www.stat.berkeley.edu/~ledell/R/h2oEnsemble.pdf,,,,,,,,,,,,,,,\textbf{R Ensemble Documentation},,http://www.stat.berkeley.edu/~ledell/R/h2oEnsemble.pdf,,2014
manual,r,"Vienna, Austria",{R Core Team},https://www.R-project.org,,,,,,,,,,,,R Foundation for Statistical Computing,,,R: A Language and Environment for Statistical Computing,,https://www.R-project.org,,2015
misc,Pydocs,,H2O.ai Team,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Pydoc.html,,,,,,,,,,,,,,,\textbf{H2O Python Documentation},,http://h2o-release.s3.amazonaws.com/h2o/latest_stable_Pydoc.html,,2015
inproceedings,lenet,,"Yann LeCun and Bottou, Leon and Bengio, Yoshua and Haffner, Patrick",http://yann.lecun.com/exdb/publis/pdf/lecun-01a.pdf,\textit{Proceedings of the IEEE},,,,,,,,,,,,,,\textbf{Gradient-Based Learning Applied to Document Recognition},,http://yann.lecun.com/exdb/publis/pdf/lecun-01a.pdf,,Nov. 1998
incollection,alexnet,,"Alex Krizhevsky and Sutskever, Ilya and Hinton, Geoffrey E",https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf,Advances in Neural Information Processing Systems 25,F. Pereira and C. J. C. Burges and L. Bottou and K. Q. Weinberger,,,,,,,,,,,1097--1105,,\textbf{ImageNet Classification with Deep Convolutional Neural Networks},,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf,,2012
article,vgg,,"Simonyan, Karen and Zisserman, Andrew",http://arxiv.org/pdf/1207.0580.pdf,,,,,,,,,,,,,,,\textbf{Very Deep Convolutional Networks for Large-Scale Image Recognition},,http://arxiv.org/pdf/1207.0580.pdf,,2014
article,googlenet,,Christian Szegedy and Wei Liu and Yangqing Jia and Pierre Sermanet and Scott E. Reed and Dragomir Anguelov and Dumitru Erhan and Vincent Vanhoucke and Andrew Rabinovich,https://arxiv.org/pdf/1409.4842.pdf,,,,,,,,,,,,,,,\textbf{Going Deeper with Convolutions},,https://arxiv.org/pdf/1409.4842.pdf,,2014
article,inceptionbn,,Sergey Ioffe and Christian Szegedy,https://arxiv.org/pdf/1502.03167.pdf,,,,,,,,,,,,,,,\textbf{Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift},,https://arxiv.org/pdf/1502.03167.pdf,,2015
article,resnet,,Kaiming He and Xiangyu Zhang and Shaoqing Ren and Jian Sun,https://arxiv.org/pdf/1512.03385.pdf,,,,,,,,,,,,,,,\textbf{Deep Residual Learning for Image Recognition},,https://arxiv.org/pdf/1512.03385.pdf,,2015
article,bergstra-bengio,,"Bergstra, James and Bengio, Yoshua",http://www.jmlr.org/papers/volume13/bergstra12a/bergstra12a.pdf,,,,,1532-4435,3/1/2012,J. Mach. Learn. Res.,February,,,25,,281--305,JMLR.org,\textbf{Random Search for Hyper-parameter Optimization},,http://www.jmlr.org/papers/volume13/bergstra12a/bergstra12a.pdf,13,2012
